Code,Borough,Count,Mean,Lower quartile,Median,Upper quartile,house_price
E09000001,City of London,130,1729,1400,1684,1950,961783 
E09000002,Barking and Dagenham,940,1227,1050,1200,1350,302686 
E09000003,Barnet,2320,1448,1200,1350,1600,638641 
E09000004,Bexley,850,1204,995,1200,1350,352460 
E09000005,Brent,1720,1467,1175,1400,1750,547212 
E09000006,Bromley,2310,1359,1050,1258,1500,496853 
E09000007,Camden,790,1936,1300,1675,2252,1121810 
E09000008,Croydon,1510,1240,1000,1200,1400,395862 
E09000009,Ealing,2160,1511,1200,1400,1700,577818 
E09000010,Enfield,1000,1342,1100,1300,1525,461150 
E09000011,Greenwich,2170,1444,1195,1350,1650,463022 
E09000012,Hackney,1380,1733,1330,1600,2000,603130 
E09000013,Hammersmith and Fulham,2340,1964,1400,1647,2226,965532 
E09000014,Haringey,1520,1533,1200,1400,1700,668129 
E09000015,Harrow,2020,1386,1150,1350,1600,526390 
E09000016,Havering,1350,1201,1000,1195,1375,379656 
E09000017,Hillingdon,1340,1260,1000,1200,1400,452469 
E09000018,Hounslow,2010,1378,1100,1300,1550,484162 
E09000019,Islington,1730,1787,1350,1625,2050,786564 
E09000020,Kensington and Chelsea,2050,2712,1700,2171,3077,2087383 
E09000021,Kingston upon Thames,1460,1437,1125,1305,1650,569995 
E09000022,Lambeth,2050,1731,1300,1600,1993,606993 
E09000023,Lewisham,2230,1350,1100,1300,1500,464843 
E09000024,Merton,1530,1639,1250,1450,1800,622631 
E09000025,Newham,2420,1510,1300,1474,1725,408103 
E09000026,Redbridge,1510,1318,1100,1250,1500,446246 
E09000027,Richmond upon Thames,1560,1768,1300,1550,1900,807647 
E09000028,Southwark,2270,1732,1300,1600,2000,667660 
E09000029,Sutton,1260,1144,925,1100,1295,397079 
E09000030,Tower Hamlets,1980,1649,1322,1550,1850,545749 
E09000031,Waltham Forest,1600,1366,1100,1300,1588,454901 
E09000032,Wandsworth,3210,1902,1422,1700,2194,816531 
E09000033,Westminster,1570,2528,1668,2167,2903,1644863 
